NAME,LAT,LONG,CENTER,LAMBDA_M,RHO,RHO_0,DELTA_RHO
BELET,6.790934060455526,83.44046672683046,1,4363.454418202562,1.043061814e-05,6.42462772e-07,16.235365844392312
BELET,6.790934060455526,94.56586080704064,1,3069.975342379284,1.8934687518e-05,1.410926122e-06,13.420041787057082
BELET,6.790934060455526,114.59157015141892,1,3324.2128018143057,1.5623800169e-05,1.180836734e-06,13.231126469128908
SHANGRILA,6.790934060455526,199.14456516101612,1,3194.3977124372127,4.2220768523e-05,1.290916726e-06,32.706035693264084
SHANGRILA,6.790934060455526,216.9451956893524,1,4297.380743744391,3.0413946441e-05,6.64775503e-07,45.75070278007568
FENSAL,6.790934060455526,303.7232695149916,1,1694.4704681372486,6.550073749e-06,5.333410359e-06,1.228121090986434
FENSAL,6.790934060455526,305.9483483310336,1,2693.522600041503,1.0725319399e-05,1.890715518e-06,5.672624621808675
FENSAL,6.790934060455526,321.52390004332784,1,3888.6585546665647,4.2775244101e-05,8.31364559e-07,51.45184944
FENSAL,6.790934060455526,323.7489788593699,1,3597.632117642755,4.8791335001e-05,9.89420951e-07,49.313019829795614
FENSAL,6.790934060455526,325.9740576754119,1,3416.902353614062,4.3394659891e-05,1.110364872e-06,39.081441598690795
FENSAL,6.790934060455526,328.19913649145394,1,3015.485709323499,3.2567245661e-05,1.468610681e-06,22.17554732543885
FENSAL,6.790934060455526,330.4242153,1,3310.144635725632,1.6054201483e-05,1.192095333e-06,13.467212758360548
FENSAL,6.790934060455526,332.6492941,1,3437.6967546711526,9.969320589e-06,1.09539287e-06,9.101137009959006
FENSAL,6.790934060455526,334.87437293958004,1,3717.766317294263,1.710172506e-05,9.19310905e-07,18.60276536797884
FENSAL,6.790934060455526,337.09945175562206,1,4286.131297807174,2.1787447569e-05,6.68685789e-07,32.58248929679043
FENSAL,6.790934060455526,339.3245305716642,1,4493.364890574902,3.3579677386e-05,6.01643783e-07,55.813220910421045
FENSAL,6.790934060455526,341.54960938770614,1,3777.234831909333,4.1927306634e-05,8.87241385e-07,47.25580585762675
SENKYO,9.016012876,58.96459975036812,1,3774.268305256776,2.2268183001e-05,8.88802488e-07,25.05414117299272
BELET,9.016012876,81.21538791078844,1,4421.707408301779,8.249955518e-06,6.23678764e-07,13.227892295172198
BELET,9.016012876,83.44046672683046,1,2944.1511789582405,1.619283148e-06,1.549424238e-06,1.045087013
BELET,9.016012876,92.34078199,1,3587.891141509345,1.3557949938e-05,9.95441506e-07,13.6200368
BELET,9.016012876,94.56586080704064,1,3999.2992816226447,1.5406354303e-05,7.80781648e-07,19.73196263738706
