Lat,Lon,NAME,LENGTH_M
0.44658662,-155.1736213,SHANGRILA,104724.3275
0.272272577,-154.8520279,SHANGRILA,32085.52494
0.024577008,-154.4010731,SHANGRILA,31074.80995
0.284546242,-154.6257178,SHANGRILA,16567.78447
-0.13162456,-153.7886314,SHANGRILA,62426.78619
-0.248616506,-153.6749221,SHANGRILA,41957.17904
-0.166809271,-154.1202197,SHANGRILA,14547.38886
-0.323178867,-153.685772,SHANGRILA,34725.63338
-0.610083053,-153.0544597,SHANGRILA,22589.86779
-0.765859441,-152.7154941,SHANGRILA,10698.64846
-0.845256114,-152.517223,SHANGRILA,31941.71552
-0.991336863,-152.3687656,SHANGRILA,61166.14869
-1.370848367,-151.6315031,SHANGRILA,17211.15231
-0.525336168,-152.9703477,SHANGRILA,30782.00953
-0.787086023,-152.5061757,SHANGRILA,59922.78795
-0.690840165,-152.6227119,SHANGRILA,15782.7799
-1.132201952,-151.713982,SHANGRILA,95015.16569
-1.45689027,-151.1594486,SHANGRILA,27968.76413
-1.019235111,-152.0517223,SHANGRILA,14723.78172
-1.234392095,-151.6534654,SHANGRILA,35527.57418
-1.244499846,-151.7458686,SHANGRILA,21334.49174
-1.306099158,-151.6093056,SHANGRILA,6695.402881
-1.436895423,-151.376584,SHANGRILA,14011.03075
-1.560534059,-151.2997432,SHANGRILA,8673.247374
-1.605201519,-151.0308903,SHANGRILA,11072.75793
-1.751950857,-150.6692838,SHANGRILA,14075.72602
-1.582087202,-151.0012406,SHANGRILA,11355.59618
-1.713730053,-150.5695786,SHANGRILA,16386.07995
-1.816947898,-150.3020757,SHANGRILA,19927.62547
-2.046745851,-149.8157059,SHANGRILA,70198.59084
-2.075490371,-150.0337659,SHANGRILA,28759.19088
-2.033207557,-150.1043144,SHANGRILA,16496.94709
-2.194112957,-149.4489475,SHANGRILA,46059.41159
-2.434696365,-148.4793572,SHANGRILA,50484.07312
-2.749069142,-147.8653578,SHANGRILA,30795.10989
-2.619136906,-148.1134419,SHANGRILA,23437.36723
-2.362068728,-148.5738605,SHANGRILA,37313.67787
-0.844331189,-152.1259822,SHANGRILA,136524.4996
-1.705003374,-150.3781077,SHANGRILA,29908.26253
-1.873782246,-149.9630452,SHANGRILA,33786.97036
-1.953654589,-149.9848005,SHANGRILA,22054.47617
-1.975365448,-149.8215699,SHANGRILA,32292.82983
-2.124972868,-149.4082335,SHANGRILA,8171.569688
-1.664689171,-150.1701497,SHANGRILA,33824.20204
-1.758707909,-150.1045259,SHANGRILA,20911.16062
-0.243906941,-153.2558949,SHANGRILA,219353.1542
-0.847953924,-151.8300041,SHANGRILA,71337.93936
0.552835347,-155.4322009,SHANGRILA,38344.329
0.703626628,-155.7670575,SHANGRILA,51633.86471
0.783109184,-155.7208514,SHANGRILA,35826.1584
0.430008541,-154.6271043,SHANGRILA,68251.4011
0.563633418,-154.7623546,SHANGRILA,64345.1189
-0.192989404,-153.2516686,SHANGRILA,91088.16834
-0.869470831,-151.6390689,SHANGRILA,63668.00269
0.83436074,-155.4803683,SHANGRILA,78517.7446
1.0405766,-155.9410926,SHANGRILA,13617.54286
0.590090616,-154.5232019,SHANGRILA,141724.4154
0.41220565,-154.3038527,SHANGRILA,38863.75328
0.391937072,-154.188512,SHANGRILA,12484.60229
0.4848887,-154.1802092,SHANGRILA,193438.8695
-0.780505932,-151.6987844,SHANGRILA,70680.56465
0.818492862,-154.7430873,SHANGRILA,131177.8922
0.408053767,-153.9023742,SHANGRILA,26601.5645
