NAME,LAT,LONG,LAMBDA_M,RHO,RHO_0,DELTA_RHO
BELET,-7.950213,104.3005806,2336.0324,5.60E-06,2.60E-06,2.156219522
BELET,-7.950213,104.8568503,33926.76483,0.0001628,6.53E-09,24940.42444
BELET,-7.950213,105.41312,5081.572638,3.25E-05,4.57E-07,71.18366672
BELET,-7.950213,105.9693897,2388.27023,5.70E-06,2.47E-06,2.316262983
BELET,-7.950213,106.5256594,2437.150398,1.90E-06,2.36E-06,0.824428441
BELET,-7.950213,107.0819291,2120.77595,1.36E-05,3.23E-06,4.204731522
BELET,-7.950213,107.6381989,2485.806444,1.19E-05,2.26E-06,5.27348935
BELET,-7.950213,108.1944686,2302.843529,1.47E-05,2.68E-06,5.489622606
BELET,-7.950213,108.7507383,2469.546921,1.19E-05,2.30E-06,5.162631355
BELET,-7.950213,109.307008,2200.62137,7.00E-06,2.97E-06,2.369582755
BELET,-7.950213,109.8632777,2286.909817,1.46E-05,2.73E-06,5.367600039
BELET,-7.950213,110.4195474,2335.895507,1.90E-06,2.60E-06,0.718603475
BELET,-7.950213,110.9758171,2169.650536,5.20E-06,3.07E-06,1.69747976
BELET,-7.950213,111.5320868,2360.488604,5.70E-06,2.54E-06,2.230161534
BELET,-7.950213,112.0883565,2765.382196,1.11E-05,1.78E-06,6.205456883
BELET,-7.950213,112.6446262,6661.116125,1.60E-05,2.49E-07,64.11743013
BELET,-7.950213,113.2008959,5612.759344,4.04E-05,3.66E-07,110.4898941
BELET,-7.950213,113.7571656,6818.668827,3.82E-05,2.37E-07,161.3696637
BELET,-7.950213,114.3134353,12281.31267,1.97E-05,6.34E-08,309.799994
BELET,-7.950213,114.869705,5266.683097,5.48E-05,4.22E-07,129.8797346
BELET,-7.950213,115.4259747,2981.803602,2.40E-06,1.51E-06,1.58397123
BELET,-7.950213,115.9822444,2725.457924,8.70E-06,1.84E-06,4.736054979
BELET,-7.950213,116.5385141,2931.196089,2.30E-06,1.56E-06,1.498577339
BELET,-7.950213,117.0947838,4159.843684,3.30E-06,7.15E-07,4.654609294
BELET,-7.950213,117.6510535,5536.200875,1.33E-05,3.77E-07,35.2282425
BELET,-7.950213,118.2073232,4837.296308,2.71E-05,5.10E-07,53.10319566
BELET,-7.950213,118.7635929,4723.492915,3.40E-05,5.38E-07,63.2107957
BELET,-7.950213,119.3198626,3689.475427,1.73E-05,9.35E-07,18.46727624
BELET,-7.950213,119.8761323,3677.197055,2.35E-05,9.42E-07,24.97884579
BELET,-7.950213,120.432402,3782.212301,1.82E-05,8.85E-07,20.52225109
BELET,-7.950213,120.9886717,3413.150358,1.91E-05,1.11E-06,17.17157471
BELET,-7.950213,121.5449415,12002.96324,6.72E-05,6.68E-08,1006.736622
BELET,-7.950213,122.1012112,7208.386234,7.82E-05,2.09E-07,374.1764051
BELET,-7.950213,126.5513688,2696.401773,2.16E-05,1.89E-06,11.43632643
BELET,-7.950213,127.1076385,2564.613516,2.05E-05,2.11E-06,9.723663216
BELET,-7.950213,127.6639082,3057.987832,2.94E-05,1.42E-06,20.62532933
BELET,-7.950213,128.2201779,2856.509102,4.57E-05,1.66E-06,27.56888467
BELET,-7.950213,128.7764476,3077.374363,5.17E-05,1.40E-06,36.84041461
BELET,-7.950213,129.3327173,2309.598658,4.06E-05,2.67E-06,15.24030223
BELET,-7.950213,129.888987,2935.033861,4.93E-05,1.56E-06,31.60371623
BELET,-7.950213,130.4452567,10474.38062,0.0001089,9.06E-08,1202.902102
BELET,-7.950213,131.0015264,6604.651464,9.51E-05,2.54E-07,374.2466956
BELET,-7.950213,131.5577961,2261.855982,3.26E-05,2.79E-06,11.65397757
BELET,-7.950213,132.1140658,2612.217465,3.97E-05,2.02E-06,19.60842435
BELET,-7.950213,132.6703355,3019.108069,2.66E-05,1.46E-06,18.13932957
SHANGRILA,-7.950213,148.8021569,3613.026112,1.45E-05,9.80E-07,14.74684438
SHANGRILA,-7.950213,167.7153269,5321.582418,2.13E-05,4.12E-07,51.65929261
SHANGRILA,-7.950213,168.2715966,3181.413238,1.27E-05,1.30E-06,9.768410827
SHANGRILA,-7.950213,168.8278663,2761.310056,2.20E-06,1.79E-06,1.235184343
SHANGRILA,-7.950213,169.384136,2512.340344,1.81E-05,2.21E-06,8.186871597
SHANGRILA,-7.950213,169.9404057,2358.015114,2.70E-06,2.55E-06,1.054098008
SHANGRILA,-7.950213,170.4966754,2214.171297,1.63E-05,2.93E-06,5.573427357
SHANGRILA,-7.950213,171.0529451,3025.88338,1.85E-05,1.46E-06,12.69658091
SHANGRILA,-7.950213,171.6092148,3559.568593,1.14E-05,1.01E-06,11.24165832
SHANGRILA,-7.950213,172.7217542,3636.748278,5.80E-06,9.66E-07,6.025047888
SHANGRILA,-7.950213,173.8342936,3013.964245,4.80E-06,1.47E-06,3.279902894
SHANGRILA,-7.950213,174.3905633,3275.265171,1.57E-05,1.22E-06,12.87902787
SHANGRILA,-7.950213,174.946833,3905.282927,2.81E-05,8.23E-07,34.14592482
SHANGRILA,-7.950213,178.2844513,6163.865196,2.32E-05,2.97E-07,78.25140943
SHANGRILA,-7.950213,189.966115,3302.321317,3.60E-06,1.20E-06,3.008084724
SHANGRILA,-7.950213,192.1911939,3553.05717,5.70E-06,1.02E-06,5.587609172
SHANGRILA,-7.950213,196.6413515,7942.018088,3.02E-05,1.68E-07,179.6915229
SHANGRILA,-7.950213,197.1976212,3203.226416,2.82E-05,1.28E-06,21.97121498
SHANGRILA,-7.950213,197.7538909,2546.472562,1.22E-05,2.14E-06,5.701645057
SHANGRILA,-7.950213,198.3101606,2420.942106,1.55E-05,2.40E-06,6.454474778
SHANGRILA,-7.950213,198.8664303,2936.347063,2.58E-05,1.56E-06,16.57831923
SHANGRILA,-7.950213,199.4227,2893.415606,1.62E-05,1.61E-06,10.05858632
SHANGRILA,-7.950213,199.9789697,3002.829941,2.88E-05,1.48E-06,19.44502089
SHANGRILA,-7.950213,200.5352394,2204.958312,1.23E-05,2.96E-06,4.173286355
SHANGRILA,-7.950213,201.0915091,2169.139158,1.39E-05,3.07E-06,4.523159451
SHANGRILA,-7.950213,201.6477788,2218.79185,1.78E-05,2.92E-06,6.083783949
SHANGRILA,-7.950213,202.2040485,2148.641889,5.20E-06,3.14E-06,1.644840222
SHANGRILA,-7.950213,202.7603182,2267.611249,1.27E-05,2.78E-06,4.569543387
SHANGRILA,-7.950213,203.3165879,4418.05066,2.12E-05,6.25E-07,33.9396221
SHANGRILA,-7.950213,203.8728576,2317.709439,2.23E-05,2.65E-06,8.407776097
SHANGRILA,-7.950213,204.4291273,2875.883959,3.22E-05,1.63E-06,19.72521346
SHANGRILA,-7.950213,204.9853971,2884.224048,3.00E-05,1.62E-06,18.48879565
SHANGRILA,-7.950213,205.5416668,2475.643739,1.78E-05,2.28E-06,7.806013579
SHANGRILA,-7.950213,206.0979365,4201.096395,5.15E-05,6.99E-07,73.59254393
SHANGRILA,-7.950213,206.6542062,2596.717374,2.49E-05,2.05E-06,12.13824444
SHANGRILA,-7.950213,207.2104759,4333.978321,5.02E-05,6.52E-07,76.95558659
SHANGRILA,-7.950213,212.2169032,2779.591229,2.45E-05,1.76E-06,13.88041235
SHANGRILA,-7.950213,212.7731729,2839.505634,1.82E-05,1.68E-06,10.81644961
SHANGRILA,-7.950213,213.3294426,2708.364362,4.12E-05,1.87E-06,22.04267089
SHANGRILA,-7.950213,213.8857123,2255.100325,2.71E-05,2.81E-06,9.618052705
FENSAL,-7.950213,318.4644167,2719.972774,2.20E-06,1.85E-06,1.176316359
FENSAL,-7.950213,319.0206864,2617.563647,4.20E-06,2.02E-06,2.077752106
FENSAL,-7.950213,319.5769561,2752.401116,1.32E-05,1.80E-06,7.333974084
FENSAL,-7.950213,320.1332258,2527.802231,4.00E-06,2.18E-06,1.855804145
FENSAL,-7.950213,320.6894955,2269.117261,5.40E-06,2.77E-06,1.962589642
FENSAL,-7.950213,321.2457652,2470.242211,5.90E-06,2.29E-06,2.5836692
FENSAL,-7.950213,321.8020349,2584.181258,2.10E-06,2.07E-06,0.996591095
FENSAL,-7.950213,322.3583046,2827.150604,9.00E-06,1.70E-06,5.332410884
FENSAL,-7.950213,322.9145743,3664.671464,2.05E-05,9.49E-07,21.6163772
FENSAL,-7.3939433,1.390685385,3540.562835,1.70E-05,1.03E-06,16.57273721
FENSAL,-7.3939433,1.946955089,5048.505217,2.42E-05,4.64E-07,52.27117148
FENSAL,-7.3939433,2.503224793,7556.166293,1.81E-05,1.88E-07,96.43701874
SENKYO,-7.3939433,58.13019519,3562.017256,1.99E-05,1.01E-06,19.71674831
SENKYO,-7.3939433,58.6864649,2275.821304,3.60E-06,2.76E-06,1.320949438
SENKYO,-7.3939433,59.2427346,3251.601446,1.04E-05,1.24E-06,8.386803097
BELET,-7.3939433,69.81185898,3796.846234,2.43E-05,8.77E-07,27.70724723
BELET,-7.3939433,70.36812868,3931.765735,1.89E-05,8.11E-07,23.26752078
BELET,-7.3939433,82.60606217,3426.772556,1.10E-05,1.10E-06,9.939681895
BELET,-7.3939433,87.0562198,3288.956489,2.10E-05,1.21E-06,17.40552323
BELET,-7.3939433,87.61248951,2606.357592,2.09E-05,2.04E-06,10.24546049
BELET,-7.3939433,88.16875921,2273.14648,1.27E-05,2.76E-06,4.605753988
BELET,-7.3939433,88.72502891,2166.795806,6.90E-06,3.08E-06,2.25367935
BELET,-7.3939433,89.28129862,2240.332787,5.40E-06,2.86E-06,1.883126415
BELET,-7.3939433,89.83756832,2309.091337,1.80E-06,2.67E-06,0.692248477
BELET,-7.3939433,90.39383803,2268.661921,1.09E-05,2.78E-06,3.922629851
BELET,-7.3939433,90.95010773,1950.267393,1.09E-05,3.89E-06,2.804783027
BELET,-7.3939433,91.50637743,2361.369129,5.70E-06,2.54E-06,2.232856123
BELET,-7.3939433,92.06264714,2924.860046,7.00E-06,1.57E-06,4.464346517
BELET,-7.3939433,92.61891684,2491.076461,1.00E-05,2.25E-06,4.424808724
BELET,-7.3939433,93.17518655,5884.504964,4.24E-05,3.29E-07,128.7655906
BELET,-7.3939433,93.73145625,2161.87684,2.08E-05,3.09E-06,6.711473055
BELET,-7.3939433,94.28772596,1819.556385,1.31E-05,4.55E-06,2.880728053
BELET,-7.3939433,94.84399566,1953.204113,1.09E-05,3.88E-06,2.8184797
BELET,-7.3939433,95.40026536,2043.160356,6.50E-06,3.51E-06,1.863312043
BELET,-7.3939433,95.95653507,2015.625923,9.70E-06,3.62E-06,2.674852407
BELET,-7.3939433,96.51280477,2410.640492,1.54E-05,2.42E-06,6.365978639
BELET,-7.3939433,97.06907448,3005.371439,2.40E-05,1.48E-06,16.2486269
BELET,-7.3939433,97.62534418,3279.481117,1.31E-05,1.22E-06,10.77731348
BELET,-7.3939433,98.18161388,4000.752163,1.92E-05,7.80E-07,24.61536171
BELET,-7.3939433,98.73788359,4261.846234,3.90E-06,6.77E-07,5.786859453
BELET,-7.3939433,99.29415329,4480.793737,2.70E-05,6.05E-07,44.61867592
BELET,-7.3939433,99.850423,13345.5212,6.42E-05,5.27E-08,1218.158464
BELET,-7.3939433,100.4066927,3336.428973,1.83E-05,1.17E-06,15.65989318
BELET,-7.3939433,100.9629624,4613.012345,3.69E-05,5.67E-07,65.10226621
BELET,-7.3939433,101.5192321,5064.205463,2.43E-05,4.60E-07,52.79928638
BELET,-7.3939433,102.0755018,2568.272629,6.20E-06,2.10E-06,2.930594938
BELET,-7.3939433,102.6317715,1994.116497,8.00E-06,3.70E-06,2.152948945
BELET,-7.3939433,103.7443109,2313.079951,1.90E-06,2.66E-06,0.69612721
BELET,-7.3939433,104.3005806,2496.483024,1.40E-05,2.24E-06,6.238365922
BELET,-7.3939433,104.8568503,2775.561686,1.78E-05,1.77E-06,10.04754356
BELET,-7.3939433,105.41312,2397.408496,3.80E-06,2.45E-06,1.563386076
BELET,-7.3939433,105.9693897,2274.587411,5.50E-06,2.76E-06,1.977948176
BELET,-7.3939433,106.5256594,2101.098717,1.70E-06,3.30E-06,0.509966696
BELET,-7.3939433,107.0819291,1998.470883,1.60E-06,3.69E-06,0.433641285
BELET,-7.3939433,107.6381989,1992.162992,4.80E-06,3.71E-06,1.287676986
BELET,-7.3939433,108.1944686,2184.753128,1.22E-05,3.02E-06,4.05074223
BELET,-7.3939433,108.7507383,2505.912807,1.20E-05,2.22E-06,5.412836698
BELET,-7.3939433,109.307008,2290.279601,1.10E-05,2.72E-06,4.044936159
BELET,-7.3939433,109.8632777,3124.400165,5.00E-06,1.36E-06,3.685177767
BELET,-7.3939433,110.4195474,2596.926969,2.49E-05,2.05E-06,12.15111286
BELET,-7.3939433,110.9758171,2131.498076,1.02E-05,3.19E-06,3.205458466
BELET,-7.3939433,111.5320868,2445.697494,1.17E-05,2.35E-06,5.002954264
BELET,-7.3939433,112.0883565,3237.115433,3.11E-05,1.25E-06,24.79932155
BELET,-7.3939433,112.6446262,2955.283434,1.65E-05,1.54E-06,10.77169793
BELET,-7.3939433,113.2008959,2475.881197,9.90E-06,2.28E-06,4.338021032
BELET,-7.3939433,113.7571656,2787.258367,4.50E-06,1.75E-06,2.546318312
BELET,-7.3939433,114.3134353,4111.756141,1.64E-05,7.34E-07,22.41325507
BELET,-7.3939433,114.869705,7355.332735,1.18E-05,2.00E-07,58.92185555
BELET,-7.3939433,115.4259747,11129.85993,3.56E-05,7.91E-08,450.4968715
BELET,-7.3939433,115.9822444,5386.49175,2.59E-05,4.01E-07,64.47269618
BELET,-7.3939433,116.5385141,2997.292922,2.40E-06,1.49E-06,1.610764878
BELET,-7.3939433,117.0947838,2812.005402,2.20E-06,1.72E-06,1.310120285
BELET,-7.3939433,117.6510535,2665.869676,8.50E-06,1.93E-06,4.40894699
BELET,-7.3939433,118.7635929,4381.995566,1.05E-05,6.36E-07,16.52553528
BELET,-7.3939433,119.3198626,7551.885335,2.44E-05,1.88E-07,129.7975649
BELET,-7.3939433,119.8761323,6560.481051,2.62E-05,2.58E-07,101.7233552
BELET,-7.3939433,120.432402,3428.534951,1.65E-05,1.10E-06,14.93436282
BELET,-7.3939433,120.9886717,2958.22711,1.89E-05,1.53E-06,12.35025424
BELET,-7.3939433,121.5449415,12782.44561,7.05E-05,5.80E-08,1216.124941
BELET,-7.3939433,122.1012112,5619.319129,6.25E-05,3.65E-07,171.3089627
BELET,-7.3939433,126.5513688,2386.379287,1.34E-05,2.48E-06,5.390772217
BELET,-7.3939433,127.1076385,2364.805999,1.14E-05,2.53E-06,4.486788926
BELET,-7.3939433,127.6639082,2227.632556,2.32E-05,2.89E-06,8.011397234
BELET,-7.3939433,128.2201779,2557.636657,1.64E-05,2.12E-06,7.710626386
BELET,-7.3939433,128.7764476,2699.989374,1.51E-05,1.88E-06,8.039963653
BELET,-7.3939433,129.3327173,2539.714996,2.64E-05,2.16E-06,12.24774501
BELET,-7.3939433,129.888987,2070.805742,4.80E-05,3.40E-06,14.10979103
BELET,-7.3939433,130.4452567,2937.001167,6.11E-05,1.56E-06,39.2133851
SHANGRILA,-7.3939433,167.7153269,4079.386602,1.63E-05,7.47E-07,21.84702384
SHANGRILA,-7.3939433,168.2715966,3382.26044,2.44E-05,1.14E-06,21.43738107
SHANGRILA,-7.3939433,168.8278663,3018.864733,7.20E-06,1.46E-06,4.945799275
SHANGRILA,-7.3939433,169.384136,2671.371291,6.40E-06,1.93E-06,3.32885439
SHANGRILA,-7.3939433,169.9404057,3414.897924,2.62E-05,1.11E-06,23.53041882
SHANGRILA,-7.3939433,170.4966754,5016.700556,0.0003409,4.70E-07,725.0317732
SHANGRILA,-7.3939433,172.1654845,4063.8843,2.59E-05,7.53E-07,34.40411727
SHANGRILA,-7.3939433,172.7217542,4201.133052,6.70E-06,6.99E-07,9.611700711
SHANGRILA,-7.3939433,173.2780239,4032.256446,6.50E-06,7.67E-07,8.4161509
SHANGRILA,-7.3939433,177.7281816,4975.459713,8.00E-06,4.79E-07,16.62068483
SHANGRILA,-7.3939433,178.2844513,8255.326198,2.80E-05,1.54E-07,181.6097209
SHANGRILA,-7.3939433,180.5095301,3728.260297,1.19E-05,9.14E-07,13.05968821
SHANGRILA,-7.3939433,189.966115,5161.909717,1.22E-05,4.41E-07,27.60129727
SHANGRILA,-7.3939433,190.5223847,5099.709201,8.20E-06,4.53E-07,18.00236884
SHANGRILA,-7.3939433,191.0786545,3054.359313,7.30E-06,1.43E-06,5.136550472
SHANGRILA,-7.3939433,192.1911939,3508.641553,2.80E-06,1.05E-06,2.682309719
SHANGRILA,-7.3939433,192.7474636,4325.436383,2.42E-05,6.55E-07,36.97144789
SHANGRILA,-7.3939433,196.6413515,2547.210254,1.63E-05,2.14E-06,7.609325197
SHANGRILA,-7.3939433,197.1976212,2588.551969,1.86E-05,2.07E-06,9.018526767
SHANGRILA,-7.3939433,197.7538909,2561.520777,1.02E-05,2.12E-06,4.842875688
SHANGRILA,-7.3939433,198.3101606,2615.437509,8.40E-06,2.02E-06,4.144586772
SHANGRILA,-7.3939433,198.8664303,3032.742841,2.40E-06,1.45E-06,1.673262595
SHANGRILA,-7.3939433,199.4227,2828.023262,2.04E-05,1.70E-06,12.0099182
SHANGRILA,-7.3939433,199.9789697,2439.868935,5.90E-06,2.36E-06,2.482228039
SHANGRILA,-7.3939433,200.5352394,2126.444584,3.40E-06,3.21E-06,1.060306524
SHANGRILA,-7.3939433,201.6477788,2060.635455,3.30E-06,3.44E-06,0.957701532
SHANGRILA,-7.3939433,202.7603182,3769.147505,3.32E-05,8.92E-07,37.20499224
SHANGRILA,-7.3939433,203.3165879,2696.236711,5.82E-05,1.89E-06,30.87196417
SHANGRILA,-7.3939433,203.8728576,2327.526616,2.61E-05,2.62E-06,9.94422343
SHANGRILA,-7.3939433,204.4291273,3550.916162,4.55E-05,1.02E-06,44.61372708
SHANGRILA,-7.3939433,204.9853971,7198.670812,7.49E-05,2.10E-07,357.2063119
SHANGRILA,-7.3939433,205.5416668,3564.956587,3.14E-05,1.01E-06,31.0663137
SHANGRILA,-7.3939433,206.0979365,2382.041945,7.60E-06,2.49E-06,3.062351872
SHANGRILA,-7.3939433,211.6606335,2913.50521,1.40E-05,1.59E-06,8.816958784
SHANGRILA,-7.3939433,212.2169032,2600.192341,2.70E-05,2.05E-06,13.217368
SHANGRILA,-7.3939433,212.7731729,2612.558808,3.14E-05,2.02E-06,15.48688457
SHANGRILA,-7.3939433,213.3294426,2128.236186,2.72E-05,3.20E-06,8.505612029
SHANGRILA,-7.3939433,213.8857123,2076.06694,1.83E-05,3.39E-06,5.396137069
FENSAL,-7.3939433,319.0206864,2409.754976,3.90E-06,2.43E-06,1.589602867
FENSAL,-7.3939433,319.5769561,2425.66854,5.80E-06,2.39E-06,2.435760066
FENSAL,-7.3939433,320.1332258,2538.131449,1.22E-05,2.16E-06,5.641402394
FENSAL,-7.3939433,320.6894955,2424.547501,5.80E-06,2.39E-06,2.432117384
FENSAL,-7.3939433,321.2457652,2766.315502,8.90E-06,1.78E-06,4.969791443
FENSAL,-7.3939433,322.3583046,2737.427682,1.09E-05,1.82E-06,6.004657513
FENSAL,-6.8376737,0.278145977,3785.413388,3.00E-06,8.83E-07,3.429756166
FENSAL,-6.8376737,0.834415681,3237.336052,2.60E-06,1.25E-06,2.06706611
FENSAL,-6.8376737,1.390685385,2657.876872,2.10E-06,1.95E-06,1.091573569
FENSAL,-6.8376737,1.946955089,2592.405259,4.10E-06,2.06E-06,2.013791535
FENSAL,-6.8376737,2.503224793,2783.728838,1.34E-05,1.76E-06,7.607681866
SENKYO,-6.8376737,58.13019519,4454.719035,2.85E-05,6.13E-07,46.48011161
SENKYO,-6.8376737,58.6864649,2745.692215,4.40E-06,1.81E-06,2.425419057
SENKYO,-6.8376737,59.2427346,2895.001453,2.08E-05,1.61E-06,12.9554308
BELET,-6.8376737,78.15590454,2975.770307,2.62E-05,1.51E-06,17.30980476
BELET,-6.8376737,78.71217424,3881.263696,3.05E-05,8.35E-07,36.47424244
BELET,-6.8376737,87.0562198,2917.754876,1.87E-05,1.58E-06,11.81154957
BELET,-6.8376737,87.61248951,2716.176867,3.26E-05,1.86E-06,17.56514863
BELET,-6.8376737,88.16875921,2899.120199,1.39E-05,1.60E-06,8.676799422
BELET,-6.8376737,88.72502891,2327.638802,5.60E-06,2.62E-06,2.131237545
BELET,-6.8376737,89.28129862,2449.047268,7.80E-06,2.34E-06,3.350115047
BELET,-6.8376737,89.83756832,2314.506931,7.40E-06,2.65E-06,2.79007419
BELET,-6.8376737,90.39383803,2492.370399,1.20E-05,2.25E-06,5.318704859
BELET,-6.8376737,90.95010773,2756.755554,6.60E-06,1.80E-06,3.685802148
BELET,-6.8376737,91.50637743,2530.443386,6.10E-06,2.17E-06,2.79313369
BELET,-6.8376737,92.06264714,2520.253178,6.00E-06,2.19E-06,2.756881928
BELET,-6.8376737,92.61891684,2361.31365,7.60E-06,2.54E-06,2.976915005
BELET,-6.8376737,93.17518655,2452.866209,7.80E-06,2.33E-06,3.367057475
BELET,-6.8376737,93.73145625,2754.623515,8.80E-06,1.80E-06,4.902108683
BELET,-6.8376737,94.28772596,2280.493472,1.28E-05,2.74E-06,4.654122326
BELET,-6.8376737,94.84399566,2236.909071,8.90E-06,2.87E-06,3.123042333
BELET,-6.8376737,95.40026536,2034.951417,1.14E-05,3.54E-06,3.218571422
BELET,-6.8376737,95.95653507,1961.67117,7.80E-06,3.84E-06,2.04159107
BELET,-6.8376737,96.51280477,2456.786271,1.77E-05,2.32E-06,7.615146837
BELET,-6.8376737,97.06907448,7589.822921,4.25E-05,1.86E-07,228.2808017
BELET,-6.8376737,97.62534418,3303.59729,2.64E-05,1.20E-06,22.07202383
BELET,-6.8376737,98.73788359,3163.23394,1.77E-05,1.32E-06,13.42439012
BELET,-6.8376737,99.29415329,2830.843249,1.59E-05,1.69E-06,9.371236682
BELET,-6.8376737,99.850423,2116.910581,5.10E-06,3.24E-06,1.567489096
BELET,-6.8376737,100.4066927,2151.952544,1.70E-06,3.12E-06,0.551019847
BELET,-6.8376737,100.9629624,2159.844107,3.50E-06,3.10E-06,1.115177361
BELET,-6.8376737,102.0755018,2909.962998,2.30E-06,1.59E-06,1.463716849
BELET,-6.8376737,103.7443109,2359.52686,5.70E-06,2.54E-06,2.227221273
BELET,-6.8376737,104.3005806,2479.730729,7.90E-06,2.28E-06,3.487916237
BELET,-6.8376737,104.8568503,2354.135566,5.60E-06,2.56E-06,2.210787642
BELET,-6.8376737,105.41312,2295.496439,1.10E-05,2.70E-06,4.074841462
BELET,-6.8376737,105.9693897,2254.708287,5.40E-06,2.81E-06,1.922528074
BELET,-6.8376737,106.5256594,2103.513481,5.00E-06,3.29E-06,1.535599842
BELET,-6.8376737,107.0819291,2178.472592,8.70E-06,3.04E-06,2.866545513
BELET,-6.8376737,107.6381989,2165.386632,5.20E-06,3.08E-06,1.686703196
BELET,-6.8376737,108.1944686,2253.001777,1.80E-06,2.82E-06,0.639273764
BELET,-6.8376737,108.7507383,2262.382662,7.20E-06,2.79E-06,2.591725694
BELET,-6.8376737,109.307008,3145.136512,1.51E-05,1.34E-06,11.29485176
BELET,-6.8376737,109.8632777,2362.796915,1.51E-05,2.53E-06,5.965946291
BELET,-6.8376737,110.4195474,2085.083215,6.70E-06,3.35E-06,1.989955588
BELET,-6.8376737,110.9758171,2204.988103,5.30E-06,2.96E-06,1.788629475
BELET,-6.8376737,111.5320868,2417.527668,1.16E-05,2.41E-06,4.818787046
BELET,-6.8376737,112.0883565,2761.785332,2.21E-05,1.79E-06,12.35872738
BELET,-6.8376737,112.6446262,2891.88049,4.16E-05,1.61E-06,25.82053563
BELET,-6.8376737,113.2008959,2526.350739,2.83E-05,2.18E-06,12.96649523
BELET,-6.8376737,113.7571656,2481.157423,9.90E-06,2.27E-06,4.368021607
BELET,-6.8376737,114.3134353,2542.288678,1.02E-05,2.15E-06,4.726143539
BELET,-6.8376737,114.869705,2552.979844,4.10E-06,2.13E-06,1.916316757
BELET,-6.8376737,115.4259747,2912.54575,1.63E-05,1.59E-06,10.27548859
BELET,-6.8376737,115.9822444,2978.235349,2.14E-05,1.51E-06,14.20058469
BELET,-6.8376737,116.5385141,2511.365304,4.00E-06,2.21E-06,1.817019803
BELET,-6.8376737,117.0947838,2541.829612,6.10E-06,2.15E-06,2.834028711
BELET,-6.8376737,117.6510535,2770.736708,2.20E-06,1.77E-06,1.248888153
BELET,-6.8376737,118.2073232,2721.378431,2.20E-06,1.85E-06,1.178285639
BELET,-6.8376737,118.7635929,3187.265683,2.04E-05,1.30E-06,15.72273235
BELET,-6.8376737,119.3198626,8848.478669,2.43E-05,1.32E-07,183.7752779
BELET,-6.8376737,119.8761323,2989.572618,6.80E-06,1.50E-06,4.5174616
BELET,-6.8376737,120.432402,3903.630276,1.25E-05,8.24E-07,15.15518483
BELET,-6.8376737,120.9886717,5793.723725,1.85E-05,3.41E-07,54.41983633
BELET,-6.8376737,121.5449415,6699.868888,3.75E-05,2.46E-07,152.4435631
BELET,-6.8376737,126.5513688,2136.012788,6.80E-06,3.18E-06,2.151661062
BELET,-6.8376737,127.1076385,1874.093286,7.50E-06,4.26E-06,1.760973968
BELET,-6.8376737,127.6639082,2309.162536,2.40E-05,2.67E-06,9.000128787
BELET,-6.8376737,128.2201779,2183.069978,1.05E-05,3.03E-06,3.463412298
BELET,-6.8376737,128.7764476,2272.417861,7.30E-06,2.77E-06,2.629129144
BELET,-6.8376737,129.3327173,2608.892427,2.92E-05,2.03E-06,14.38885667
SHANGRILA,-6.8376737,166.6027875,6962.413088,6.53E-05,2.26E-07,289.1600013
SHANGRILA,-6.8376737,167.1590572,4233.658101,1.63E-05,6.87E-07,23.6990901
SHANGRILA,-6.8376737,167.7153269,4134.246475,1.98E-05,7.25E-07,27.37511075
SHANGRILA,-6.8376737,168.2715966,2883.065549,9.20E-06,1.62E-06,5.681465668
SHANGRILA,-6.8376737,168.8278663,2811.862084,6.70E-06,1.72E-06,3.929712467
SHANGRILA,-6.8376737,169.384136,2710.498541,1.52E-05,1.86E-06,8.141719821
SHANGRILA,-6.8376737,169.9404057,2567.994693,1.55E-05,2.10E-06,7.349249898
SHANGRILA,-6.8376737,170.4966754,2187.859075,4.40E-06,3.01E-06,1.452365178
SHANGRILA,-6.8376737,171.0529451,2464.713224,5.30E-06,2.31E-06,2.291000924
SHANGRILA,-6.8376737,171.6092148,3916.898111,5.34E-05,8.18E-07,65.25256903
SHANGRILA,-6.8376737,172.1654845,4564.365957,6.24E-05,5.81E-07,107.4030694
SHANGRILA,-6.8376737,177.1719119,4826.310804,1.54E-05,5.13E-07,30.12214502
SHANGRILA,-6.8376737,177.7281816,8943.718882,3.32E-05,1.29E-07,257.3946151
SHANGRILA,-6.8376737,190.5223847,3509.56038,1.93E-05,1.05E-06,18.40665957
SHANGRILA,-6.8376737,191.0786545,3892.735505,3.23E-05,8.29E-07,38.88635601
SHANGRILA,-6.8376737,191.6349242,3413.514291,2.73E-05,1.11E-06,24.53929037
SHANGRILA,-6.8376737,192.1911939,2813.571043,2.93E-05,1.71E-06,17.06228352
SHANGRILA,-6.8376737,192.7474636,1893.465076,7.80E-06,4.16E-06,1.868753607
SHANGRILA,-6.8376737,193.3037333,2292.496128,1.61E-05,2.71E-06,5.954547987
SHANGRILA,-6.8376737,193.860003,2183.70251,2.27E-05,3.02E-06,7.51110153
SHANGRILA,-6.8376737,194.4162727,2205.517893,2.12E-05,2.96E-06,7.159177951
SHANGRILA,-6.8376737,194.9725424,2176.470831,1.39E-05,3.05E-06,4.572842541
SHANGRILA,-6.8376737,195.5288121,2535.106708,1.01E-05,2.17E-06,4.683054802
SHANGRILA,-6.8376737,196.0850818,2644.428212,8.50E-06,1.97E-06,4.295171954
